"State","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","category","region_name"
"South Dakota",24951.2,26440.4,27463.4,29386.1,29455.2,32784.9,32979.1,34269.6,35842.2,36350.8,37755.9,39080.8,39987.3,40369.6,43049.5,43901.5,44147.4,44846.5,45664.5,46076,45775.8,46300.3,46650.5,47402.4,49557.9,49809.2,NA,"gdp","Midwest"
"Tennessee",210637.3,223711.3,230895.6,233732.2,233362.5,240971.7,248993.8,260553.5,268391.7,274879.2,273224,274571.1,264737.1,268449.8,276898.3,286341.5,289794.6,294130.1,304484.2,310143.2,318963.9,323541.6,331176.6,323454,352461.2,367776,NA,"gdp","Southeast"
"Texas",870724.4,925556.7,961513.2,995661.2,1020537.8,1043566.9,1050609.4,1109477,1141373.7,1228547.3,1286192.7,1282088.7,1277295.4,1309962.4,1353600.4,1421180.1,1484700.1,1529617.1,1605901.7,1619954.2,1659453.3,1728304,1779781.4,1747562,1815063.6,1876327.8,NA,"gdp","Southwest"
"Utah",80658.9,85724.8,89282,92498.4,93556.7,95383.1,97017.3,102846.7,110046.4,118482.3,123835.3,124225.5,121431.4,123902.2,127992.5,129512.5,133112.9,136993.7,141720.5,147962.3,154758.3,164622.1,172038.4,174954.7,186910,191965.2,NA,"gdp","West"
"Vermont",20049.4,20678,21830.2,23016.8,23752.4,24570.1,25464.9,26855.2,26995.6,27128.8,26886.7,27758.4,27222,28403.7,29013.5,29241.3,28681.5,28912.2,29119,29408.1,29490.6,29602.2,29940.7,29064.6,30546.8,31395.3,NA,"gdp","Northeast"
"Virginia",298922.3,315091,332373.3,348327,360601.1,364932.4,377723.8,392941.3,412084.6,419870.6,424939.5,431216.7,427648.9,441242.4,444288,445973.6,449063.8,447678.1,455162.4,459965.8,467362,477915.2,489199.1,478909.3,505351,512946.3,NA,"gdp","Southeast"
"Washington",271270.7,288206.9,308949.5,311209.9,303673.8,307583.2,312556.4,319848.9,340428,353263.5,373180.6,381289.9,370136.6,380989.5,387745.2,400530.6,410873.9,424467.6,441952.1,458263.8,482007,515029.1,533150.4,538856.1,575129,582171.6,NA,"gdp","West"
"West Virginia",58934.3,59847.4,61783.9,61665.7,61818.6,62834.1,63145.5,64159.8,65678.4,66861.4,67119.1,68483.9,68191.8,69153.5,70361.3,70322.2,70550.1,70532.5,70663,70011.4,71425.6,73170.4,72633.4,70444.2,71343.2,71652.4,NA,"gdp","Southeast"
"Wisconsin",209111.7,216955.9,225783.7,232411.7,236088.7,240543.3,247766.1,256167.4,263698.6,268246.4,269933.6,266626.9,258761.2,266830.8,272813.2,277107.1,278015,283981.1,289077,291920.3,291922.7,299062.6,303669,293104.9,306467.4,311702.1,NA,"gdp","Midwest"
"Wyoming",24960.3,25530.4,26597.7,27435,29130.5,29777.1,30673.2,31695.7,33484,37813.4,40632.2,42868.2,41546.4,40056.6,39767.9,38855.4,38849.6,39559.4,40418.2,38188.7,37521.6,38080.1,38446.6,36268.6,36400,36346.1,NA,"gdp","West"
"Alabama",134.1,133.5,135.84,142.3,133.32,138.3,139.8,142,143.5,145.8,147.3,139.4,119.8,132.5,129.5,122.6,120.5,122.6,119.2,114,108.6,112.4,106.3,98.3,0,0,NA,"carbon","Southeast"
"Alaska",41.2,42.2,42.86,43.6,42.55,42.7,42.9,46.2,47.5,45.4,43.7,39.1,37.3,37.1,37.1,36.2,34,33.9,35,33.4,33.7,34.5,34.3,36,0,0,NA,"carbon","West"
"Arizona",71.7,76.7,80.62,86.6,88.86,88.3,90.5,97.3,97.3,100.5,102.4,102.6,93.9,99.5,97.7,95.5,99.3,97.3,95,90.9,90.5,94.1,92.5,80.1,0,0,NA,"carbon","West"
"Arkansas",59.2,60.5,62.72,63.3,62.5,61.2,62.2,62.5,60.2,62.1,63.4,64.2,61.5,66.1,67.5,66.3,68.5,68.9,59.1,62.1,64.2,70.8,65.1,54.7,0,0,NA,"carbon","Southwest"
"California",352.7,362.7,366.1,382.3,385.56,384.4,374.6,392.7,389.6,397.8,402.6,384,370.4,356.6,342.7,348.7,349.7,345.4,351.4,353.4,356.5,358.6,358.2,303.4,0,0,NA,"carbon","West"
"Colorado",76.2,78.4,80.46,85.5,93.3,91.6,91,93.5,95.8,96.6,99.3,97.4,93.3,95.9,92.5,91.2,92.1,92.8,91.3,88.4,88.8,90.1,91.7,79.9,0,0,NA,"carbon","West"
"Connecticut",42.3,39.9,41.17,42.8,41.57,40,43,44.7,43.9,40.9,40.1,37.7,36,36.4,35,34.3,34.6,35,36.3,34.1,33.9,37.4,36.6,33.8,0,0,NA,"carbon","Northeast"
"Delaware",16.8,16.2,16.4,16.7,16,15.9,16.6,16.6,17.4,16.2,17.1,16.2,11.9,13.1,13.9,14.6,14,13.8,13.9,14.4,13.8,14,13.6,12.5,0,0,NA,"carbon","Southeast"
"Florida",217.8,230.3,229.81,239.1,237.39,241.2,246.5,257.1,260,259.1,256.7,238.5,224.7,245.5,232.4,227,227,233,237.4,238.8,238.4,242,233.6,207.6,0,0,NA,"carbon","Southeast"
"Georgia",157.1,158.4,160.99,169.7,161.61,166.6,170.5,175.3,185.6,183,185.6,172.6,163,175.2,160,141.6,142.9,148.1,145.7,144.5,141.8,141.9,136.5,116.6,0,0,NA,"carbon","Southeast"
"Hawaii",18.7,18.7,18.41,18.7,19.17,20.4,21.5,22.5,23,23.2,24,19.3,18.8,20.4,20.6,20.3,20.1,19.6,19.8,19.8,20.4,20.3,20.5,14.9,0,0,NA,"carbon","West"
"Idaho",13.8,14,14.9,15.7,15.58,15,14.5,15.7,15.8,15.8,16.3,15.5,15.2,16.3,16,15.8,17.2,16.8,18,18.3,18.7,19,20.1,19.4,0,0,NA,"carbon","West"
